employer,headline,occupation,ai_industry,ai_locations,ai_technology
"ICA AB","Technology Service Owner - Microsoft Windows Server & MS SQL",Systemarkitekt,Retail,"Near Mall of Scandinavia","Microsoft Windows Server,MS SQL"
"ICA AB","UX Designer för ecom ICA Sverige",Applikationsutvecklare/Apputvecklare,Dagligvarubranschen,Sweden,"User research ,Konceptutveckling ,Design ,Implementation ,Uppföljning ,Hotjar ,GA"
"ICA AB","Produktägare för utvecklingsteam",Systemförvaltare,Retail,VUIT,"MicroService-arkitektur,Finans och lönesystem,Agila arbetssätt,Continous delivery"
"ICA AB","Integrationsutvecklare till  Finans- och Löneflöden",Systemutvecklare/Programmerare,"Finance and Payroll","ICA Sverige","Java,Micro Services,JavaScript,Spring Boot,Docker"
"ICA AB","Enterprise Arkitekt",IT-arkitekt/Lösningsarkitekt,Retail,"Solna, Sweden","* Cloud,* CI,* DevOps"
"ICA AB","Corporate IT Sourcing & Vendor Manager",IT-strateg,Retail,"ICA Gruppen AB, Sweden","IT Sourcing ,Vendor Management ,IT Inköp ,IT Upphandlingar ,Ramverk ,Processer ,Guidelines ,Verktygsstöd"
"ICA AB","Platform engineer till Analytic Platforms, ICA Gruppen",Mjukvaruutvecklare,Retail,"Not mentioned","Automation,Infrastructure-as-code (terraform),CI/CD tooling (Jenkins and/or Gitlab)"
"ICA AB","Enterprise Arkitekt",IT-arkitekt/Lösningsarkitekt,Retail,"Solna, Sweden","* Cloud,* CI,* DevOps"
"ICA AB","Drifttekniker till ICAs E-handel",Systemförvaltare,Detaljhandel,"ICA Sverige","* Felsök av applikationer och nätverk,* Ansvara för uppföljning av Incidenter, Root Cause och tillgänglighet på berörda applikationer,* Arbete med support genom tickets internt med också mot leverantörer,* Identifiera, agera och följa upp med åtgärder för att optimera och aktivt minska produktionskostnader och säkerställa stabilitet på applikationerna inom tjänsteområdet,* Hantera informationsspridning, både internt och externt till systemleverantör,* Förbättra och anpassa incident- och problemprocesserna inom ramen för ICAs ramverk vid behov"
"ICA AB","Service Manager för applikationer inom Finansområdet",Applikationsutvecklare/Apputvecklare,Retail,"ICA Sverige","IT-tjänster ,Ekonomiapplikationer ,Integrationer ,Agila arbetssätt ,Continuous Delivery"
"ICA AB","Vikarierande Data Analyst till ICA Analytics",Systemanalytiker/Systemutredare,Retail/Grocery,Sweden,"SQL,Tableau,Python,GitHub,BigQuery,Cloudera"
"ICA Banken AB","Ansvarig IT-Operations och Releases Management",Systemansvarig,Insurance,"Borås, Solna, Växjö","* Infrastructure,* Applications"
"ICA AB","Vi söker Data Protection Manager för ICAs kunddata",Datasäkerhetsansvarig,Retail,"ICA Sverige","* GDPR-frågor och dataskydd,* Personuppgiftshantering,* Informationssäkerhetsfunktion,* Utvecklare och data scientists"
"ICA Banken AB","Verksamhetsutvecklare till ICA Försäkring",Backend-utvecklare,Försäkringsbolag,"Borås, Solna, Växjö","* Verksamhetsutveckling,* IT"
"ICA AB","Data Protection Guardian HR till ICA Gruppen",Datasäkerhetsansvarig,Retail,"ICA Gruppen, Sweden","* HR systems/processes,* GDPR,* Dataskyddsanalyser/behandlingsanalyser,* DPIA"
"ICA AB","Information Security Specialist, ICA Banken","Säkerhetsansvarig, IT","Bank- och försäkringsverksamhet","Solna or Borås","Data systemvetenskap,ISO27001 och 27002,Data privacy,Bedrägeriprevention,Fysisk säkerhet"
"ICA AB","Senior IT Sourcing och Vendor Manager till ICA Sverige",Systemförvaltare,Retail/Detailhandel,"ICA Sverige, Sweden","IT-sourcing ,IT-avtal ,Leverantörsstyrning ,Avtalsprojektledning ,Applikationsutveckling ,Applikationsförvaltning"
"ICA AB","Metadata Management Lead till ICA Sverige",Systemansvarig,"Retail (ICA Sverige)","Not mentioned","Data Governance,Metadata Management,Datakatalog,Informationsklassificering,Business Dictionary,Data Lineage"
"ICA AB","ICA söker en Infosäk- och dataskyddsspecialist ",Datasäkerhetsansvarig,Retail,Sweden,"* Metoder och processer för dataskydd & informationssäkerhet,* Kravställa ICAs lösning för att hantera de registrerades rättigheter,* Verka för att nyutveckling uppfyller ICAs informationssäkerhetskrav och krav från gällande och kommande regelverk och lagar,* Riskhantering,* Certifiering inom och dataskydd"
"ICA AB",IT-säkerhetsspecialist,"Säkerhetsanalytiker, IT","Retail (Dagligvaruhandel)","Not mentioned","Risk analysis,Requirements engineering,Analysis and consulting,Security integration,Agile development"
"ICA AB",Dataskyddsspecialist,"Säkerhetsanalytiker, IT",Retail,"Solna, Sweden","Data security,Information security,Project and change management"
"ICA AB",Dataskyddsspecialist,"Säkerhetsanalytiker, IT",Retail,"Solna, Sweden","Data security,Information security,Project and change management"
"ICA AB","Backend-utvecklare som vill digitalisera ICA Sveriges butiker",Backend-utvecklare,"Retail (ICA)","Not mentioned",".NET Core,SQL,REST & GraphQL,Continious Delivery / Continious Integration,Azure,Microservices,Testdriven utveckling"
"ICA AB","Frontend-utvecklare som vill digitalisera ICA Sveriges butiker",Frontend-utvecklare,"Retail (ICA)",N/A,"Javascriptramverk såsom VUE / React / Angular eller Svelte,Web Components,GraphQL,Continious Delivery / Continious Integration,Testdriven utveckling med vana inom Cypress/Puppeteer eller liknande"
"ICA AB","VUIT Butik söker en System Engineer till Kassateamet",Systemförvaltare,Detaljhandel,"ICA Gruppen, ICA Sverige","Windows server,SQL,Kravställning,Butikserfarenhet,ITIL ramverk"
"ICA AB","Senior Data Analyst (Digital) till ICA Bankens Analysteam",Systemanalytiker/Systemutredare,"ICA Banken","Solna, Sweden","* Google Analytics 360,* Google BigQuery,* Google Data Studio,* Google Tag Manager"
"ICA AB","Testare till Verksamhetsutveckling & IT",Systemtestare,Retail,"ICA Sverige","Cloud,Standardapplikationer,Testautomatisering,Konfigurering av standardapplikationer"
"ICA AB","Data Engineer Google Cloud Platform, ICA Sverige",IT-tekniker/Datatekniker,ICA,N/A,"GCP,Cloud,SQL,Python,Open Source,DevOps"
"ICA AB","Senior Projektledare till vårt växande team","Projektledare, IT",Retail,"ICA Sverige AB","Verksamhetsutveckling och IT (VUIT),Traditionella projektmodeller,Agila arbetssätt,Förändringsledning,Styrgruppsarbete,Externa leverantörer,IT-utveckling/lösningsarkitektur,Utveckling av digitala tjänster"
"ICA AB","Vi söker projektledare till vårt växande team!","Projektledare, IT",Retail,"ICA Sverige AB","Verksamhetsutveckling och IT (VUIT),Traditionella projektmodeller,Agila arbetssätt,Förändringsledning"
"ICA Sverige AB"," Data Engineer Google Cloud Platform",Mjukvaruutvecklare,ICA,"Not mentioned","GCP,Cloud,SQL,Python"
"ICA Gruppen AB","Specialist IT-Säkerhet","Säkerhetsanalytiker, IT",Dagligvaruhandel,"Not mentioned","Riskanalyser,Kravställa,Analysera,Rådgiva,Applikationer,Infrastruktur,SaaS,PaaS,IaaS"
"ICA Gruppen AB","Specialist Dataskydd - ICA Gruppen",Datasäkerhetsansvarig,Retail,Solna,"Data ,Dataskydd ,Informationssäkerhet"
"ICA Sverige AB","Lösningsarkitekt Category & Space",IT-arkitekt/Lösningsarkitekt,Retail,"Not mentioned","Processmodellering ,Processdokumentation ,Processrelaterade förbättringar och förändringar ,Systemstöd ,Agilt arbetssätt"
"Scania CV AB","Systemutvecklare av moderna websystem",Systemutvecklare/Programmerare,"Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Bootstrap,Angular JS,Webstorm,C#,.Net,Micro services,Node.js,REST,WebAPI,SQLServer/NoSQL,VisualStudio,RTC,Lastbil,TeamCity,Octopus,Docker,Vagrant,Azure,AWS,Windows,Linux"
"ICA Sverige AB","Application Operations specialist",Applikationsutvecklare/Apputvecklare,"Retail (ICA Sverige)","Borås, Sverige","Integrationer,Brandväggar,Lastbalansering"
"ICA Sverige AB"," Annonsrubrik Lead Data Engineer Google Cloud Platform",Systemförvaltare,ICA,"Not mentioned","GCP,Cloud,SQL,Python,DevOps"
"ICA Sverige AB","ICA Sverige söker Delivery Manager i Borås","Civilingenjör, systemutveckling","Retail (ICA Sverige)","Borås, Sverige","Management Information System ,Computer Science ,Engineering ,DevOps"
"ICA Sverige AB","Systemutvecklare/förvaltare med fokus ICA Special",Systemförvaltare,"Retail (ICA Sverige)",Göteborg,"Microsoft teknologi,Visual Studio (C#, Visual basic),Excel med VBA,SQL,Andra plattformar och integration"
"ICA Banken AB","Testare ICA Banken",Systemtestare,"Banking and Insurance","Borås and Solna","Automated testing,CI/CD,DevOps Mindset"
"ICA Sverige AB","Utvecklare .NET till ICA Sverige AB i Borås",Systemutvecklare/Programmerare,"Retail (ICA Gruppen)","Borås, Sverige",.NET
"ICA Sverige AB","Utvecklare Java till ICA Sverige AB i Borås",Systemutvecklare/Programmerare,Retail/Detailhandel,"Borås, Sverige","Java,PostgreSQL,Jenkins,Git,WSO2,DBVisualizer/pgAdmin,Eclipse/IntelliJ,Azure,Kubernetes,Kafka,Spring,JPA,Vue"
"ICA Sverige AB","QA/testare till ICA Sverige AB i Borås",Systemtestare,"Retail (ICA Gruppen is a Nordic retail company)","Borås, Sverige","QA/Testing,Application Development,Integration Testing,Agile Methodology"
"ICA Sverige AB","Processledare för ICA Transport","Processansvarig, ITIL",Retail/Detailhandel,"Solna, Västerås, Helsingborg, Kallhäll, Borlänge","Digital automation,Rapportverktyg,Förbättringsverktyg,Transport Management System"
"ICA Sverige AB","Utvecklare Java till ICA Sverige AB i Borås",Systemutvecklare/Programmerare,"Retail (ICA Gruppen is a Nordic retail company)","Borås, Sverige","Java,PostgreSQL,Jenkins,Git,WSO2,DBVisualizer/pgAdmin,Eclipse/IntelliJ,Azure,Kubernetes,Kafka,Spring,JPA,Vue"
"ICA Gruppen AB","Integrationsutvecklare till ICA Gruppen",Mjukvaruutvecklare,"Retail (ICA Group is a leading Nordic retail company with operations in food and meals, banking, pharmacy, special goods, and real estate)","Not mentioned","Event driven integration,Oracle SOA/OSB,Azure,MSA,Kubernetics,Java,Kafka,API management"
"ICA Gruppen AB","IT Specialist IAM - ICA IT Services",IT-strateg,Retail,Sweden,"Identity & Access Management ,Single sign on ,OAuth 2.0/OpenIDConnect ,SAML ,LDAP ,Kerberos ,Active Directory ,Azure Active Directory ,IGA verktyg"
"ICA Gruppen AB","Delivery Lead IT till HR & Learning, ICA Gruppen",Systemförvaltare,Retail,"Västerås (primarily) and Stockholm","Workday,HR & Learning systems and applications"
"ICA Sverige AB","Delivery Lead IT till HR & Learning, ICA Gruppen","Projektledare, IT",Retail,"Västerås ,Stockholm","Workday ,HR & Learning systems and applications"
"ICA Sverige AB","Senior Processutvecklare",Systemutvecklare/Programmerare,"Ekonomi och löneadministration","ICA Sverige AB, ICA Gruppen","System och processer,Digitalisering och automation,IT-system,Automationslösningar"
"ICA Gruppen AB","Devops Engineer Automation",Applikationsutvecklare/Apputvecklare,"ICA Group","Not mentioned","WorkFusion Automation,Windows server,Network configuration (DNS, proxy, firewalls, load balancing)"
"ICA Sverige AB","Produktägare/ Tech Lead till team Output Platform i Borås",IT-strateg,Retail/Grocery,"Borås, Sweden","Agile working methods,Automation,Processes,Applications,Solutions,Digitalization"
"ICA Sverige AB","Scrum Master till ICA Sverige AB i Borås","Processansvarig, ITIL",Detaljhandel,"Borås, Sverige","Applikationer,Lösningar,Digitaliseringsresa,Agil metodik,SAFe"
"ICA Banken AB","Senior Application DB Specialist ",Applikationsutvecklare/Apputvecklare,"Banking and Insurance","Sweden; Solna and Borås","Microsoft technologies ,MS SQL ,SQL Server 2019 ,SQL Agent Jobs ,C# development (SSIS) ,WebAPI development ,WCF configuration and troubleshooting ,Azure Portal management ,Kibana ,Splunk Relic"
"ICA Sverige AB","Testare som brinner för användarupplevelsen",Systemtestare,Retail,"Borås, Sweden","DevOps ,Automatiserade tester ,Integration mellan flera applikationer"
"ICA Sverige AB","Systemutvecklare/förvaltare med fokus ICA Special ",Systemutvecklare/Programmerare,"Retail (ICA Sverige)",Göteborg,"Microsoft teknologi,Visual Studio (C#, Visual basic),Excel med VBA,SQL,Andra plattformar och integration"
"ICA Sverige AB","Full Stack utvecklare inom Micro Service Arkitektur",Mjukvaruutvecklare,"Finance and Payroll","ICA Sverige, Sweden","Micro Services Architecture,Java,Javascript,React,Vue.js,Automated Testing,Spring Boot,Docker"
"ICA Sverige AB","Lösningsarkitekt Lön och HR till Verksamhetsutveckling & IT",IT-arkitekt/Lösningsarkitekt,Dagligvarubranschen,"ICA Sverige","Processmodellering ,Lösningsdokumentation ,System/applikationer ,IT-stöd"
"ICA Banken AB","Webbutvecklare till ICA Banken",Systemutvecklare/Programmerare,"Banking and Insurance","Solna alt. Borås","React,TypeScript,Weforms,CSS,ASP .Net,SQL,jQuery,Node.JS,Git,Azure DevOps"
"ICA Sverige AB","Systemutvecklare - Output platform",Systemutvecklare/Programmerare,"Retail (ICA Sverige)","Borås, Sweden","SQL,C,Javascript,XML,Microsoft server,Quadient Inspire"
"ICA Sverige AB","ICA i Borås söker dig som vill arbeta som Produktägare","Projektledare, IT",Retail,Sweden,"Agile development ,Backlog refinement ,Prioritization ,Communication ,Testing ,Measurement"
"ICA Sverige AB","Systemutvecklare/förvaltare med fokus ICA Special",Systemutvecklare/Programmerare,"Retail (ICA Sverige)","Göteborg eller Solna","Microsoft teknologi,Visual Studio (C#, Visual basic),Excel med VBA,SQL,Integration,Infrastruktur"
"ICA Sverige AB","Data Engineer Google Cloud Platform ICA Sverige",Systemutvecklare/Programmerare,Retail,Sweden,"GCP,Cloud,SQL,Python"
"ICA Gruppen AB","We are searching for a developer to work on our new Data Catalog",Systemutvecklare/Programmerare,Retail,"Not mentioned","Data Catalog,Infrastructure as Code,Python,Rest API,CI/CD tooling,Meta data Governance"
"ICA Sverige AB","Systemutvecklare/förvaltare med fokus ICA Special",Systemutvecklare/Programmerare,"ICA Sverige","Göteborg eller Solna","Microsoft teknologi,Visual Studio (C#, Visual basic),Excel med VBA,SQL,Andra plattformar och integration"
"ICA Sverige AB","Utvecklare .NET till ICA Sverige i Borås",Frontend-utvecklare,Retail/Detailhandel,Borås,.NET
"ICA Sverige AB","Java-utvecklare inom Micro Services Arkitektur till ICA Sverige Västerås",Applikationsutvecklare/Apputvecklare,"ICA Sverige (Retail)","Västerås, Sweden","Java,Spring Boot,Docker,Azure,Typescript,React,Kafka,MySQL,Jenkins,GitLab"
"ICA Sverige AB","Service Manager inom Finansområdet till ICA Sverige",Systemanalytiker/Systemutredare,"ICA Sverige",Västerås,"IT-tjänster,Ekonomiapplikationer,Integrationer,Agila arbetssätt,Continuous Delivery"
"ICA Banken AB","ICA Banken söker Lösningsarkitekt",IT-arkitekt/Lösningsarkitekt,"Bank- och försäkringsverksamheter",N/A,"IT,Egenutvecklade system,Köpta tjänster,ICA gemensamma system"
"ICA Gruppen AB",Integrationsspecialist,Mjukvaruutvecklare,Retail,"ICA Cross-Functional Services, ICA IT Services, ICA Gruppen","Event driven integration,Azure,MSA,Kubernetics,Java,Kafka,API management"
"ICA Gruppen AB","IT Compliance Manager",Systemförvaltare,Retail,"Solna, Sweden","Regelefterlevnad inom IT och Informationssäkerhet,PCI-DSS,Generella IT kontroller"
"ICA Sverige AB","Teamchef Masterdata, Verksamhetsutveckling & IT, Göteborg",IT-samordnare,Retail,"ICA Sverige","Digital innovation ,IT ,Banktjänster ,Fastigheter"
"ICA Sverige AB","Data Engineer Google Cloud Platform",IT-tekniker/Datatekniker,"Fast-moving consumer goods e-commerce",Sweden,"Google Cloud Platform,Open source,Python,SQL"
"SJ AB","Operativ Personalledare Hässleholm","Driftledare, IT","SJ Öresunds Driftledning","Hässleholms depån","IVU (Planeringssystemet) ,Telefonkontakt ,Datorvana"
"SJ AB","Operativ Personalledare Hässleholm","Driftledare, IT","SJ Öresunds Driftledning","Hässleholms depån","IVU (Planeringssystemet) ,Telefonkontakt ,Datorvana"
"Scania IT","Förvaltningsledare inom Finans & HR till Scania IT",IT-tekniker/Datatekniker,"Lastbilstillverkare,Transportlösningar,Tjänsteleverantör","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur,Oracle Hyperion plattformen"
"Scania CV AB","Industrial Workshop Support Technician, Scania IT",IT-tekniker/Datatekniker,Automotive,"Södertälje, Sweden","Client,Network,Printer,Backup,Local applications,Automation"
"Scania CV AB","Testledare, Scania IT","Projektledare, IT","Lastbilstillverkare och tjänsteleverantör av kompletta transportlösningar.","Södertälje, Sweden","Digitalisering ,IT-stödsystem ,Testning av stora komplexa system ,Integrerade system ,Testautomation ,Agil utveckling"
"Scania CV AB","Systemingenjör - riggstyrsystem/Puma till gruppen Provningssystem","Civilingenjör, systemutveckling","Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"PC-based systems,PLCs,CAN bus,Profibus,Fordonsstyrsystem,Motorutveckling,Emissionsmätning,Databaser,Automation,Mätteknik"
"Scania IT","Lösningsarkitekt BI till Scania IT",IT-arkitekt/Lösningsarkitekt,"Lastbilstillverkare,Transportlösningar,Tjänsteleverantör","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur"
"Scania IT","Projektledare till Scania IT","Civilingenjör, systemutveckling",Automotive,"Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur"
"Scania IT","Senior utvecklare/arkitekt inom CRM till Scania IT, Sales",Systemutvecklare/Programmerare,"Transport Solutions","Södertälje, Sweden",".NET ,Dynamics CRM ,Entity framework ,WCF ,AngularJS"
"Scania IT",Systemutvecklare/Programmerare,Systemutvecklare/Programmerare,"Manufacturing and Transport Solutions","Södertälje, Sweden","Windows Server,SQL Server,Web Server technologies,Cloud computing"
"Scania IT","Supportspecialist till Customer Support, Scania IT",Helpdesktekniker/Supporttekniker,Automotive,"Sverige, Holland, Frankrike, Belgien, Latinamerika, Indien","Windows XP ,Windows Vista ,Windows 7 ,Microsoft Office ,Outlook"
"Scania CV AB","Lead Developer - Drive Connectivity at Scania!","Projektledare, IT",Automotive,"Södertälje, Sweden",".NET/C#,Javascript/AngularJS,SQL or NoSQL,Cloud environment (Azure, AWS)"
"Scania CV AB","Test Manager for Scania IT",Systemtestare,Automotive,"Södertälje, Sweden","Microsoft .Net,Agile working methods,Test automatization"
"Scania IT","Utvecklare QlikView Business Intelligence till Scania IT",Systemutvecklare/Programmerare,"Lastbilstillverkare,Transportlösningar,Tjänsteleverantör","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","QlikView Business Intelligence,ETL-processen,SQL,Rapportdesign QV"
"Scania CV AB","Software Architect for Scania IT",IT-arkitekt/Lösningsarkitekt,Automotive,"Södertälje, Sweden","MES (Manufacturing Execution System),Industry 4.0,IIoT,UML"
"Scania CV AB","System/funktionsägare till Connected Services","Civilingenjör, systemutveckling","Transport och logistik",Sverige,"Lastbilar och bussar för tunga transporter,Industri- och marinmotorer,Service- och tjänsteutbud,Finansiella tjänster,Forskning och utveckling,Tillverkning"
"Scania CV AB","Systemutvecklare för moderna websystem",Systemutvecklare/Programmerare,"Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Bootstrap,Angular JS,C#,.Net,Micro Services,REST,WebAPI,SQLServer,VisualStudio,Jenkins,TeamCity,Octopus,AWS,Windows,Linux"
"Scania CV AB","Junior Developer - Drive Connectivity at Scania!",IT-tekniker/Datatekniker,Automotive,"Södertälje, Sweden",".NET/C#,Javascript/AngularJS,SQL or NoSQL"
"Scania CV AB","Experienced System tester for .NET applications Scania IT ",IT-tekniker/Datatekniker,"Transport Solutions","Södertälje, Sweden",".NET,Selenium,Automated Testing,Manual Testing"
"Scania IT","Maintenance Manager at Product Development IT, Scania IT","Civilingenjör, systemutveckling","Transportation Solutions","Sweden,Holland,France,Belgium,Latin America,India",".Net,SCRUM"
"Scania CV AB","Business IT Analyst - PDM & CAD","Civilingenjör, systemutveckling",Manufacturing,Sweden,"Product Lifecycle Management (PLM),Product Data Managment (PDM),CAD,ENOVIA,TEAMCENTER,WINDCHILL"
"Scania IT","Projektledare till Scania IT","Civilingenjör, systemutveckling","Lastbilstillverkare,Transportlösningar,Tjänsteleverantör","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur"
"Scania CV AB","Model developer, Integration test (HIL)","Civilingenjör, systemutveckling","Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Matlab Simulink,Styrsystem,Mjukvaruutveckling,HW,Testning"
"Scania CV AB","Solution Architect, O2D Process - Production & Industrial Maintenance",IT-arkitekt/Lösningsarkitekt,"Transport Solutions","Södertälje, Sweden","MES/SCADA,Automation environment,Agile method,TOGAF,Data integration techniques,SOA,Microservices"
"Scania IT","SCRUM-team medlem för .NET lösningar till Scania IT","Civilingenjör, systemutveckling",Transportlösningar,"Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien",".NET,Microsoft Azure,LEAN Software Development Process (LSDP),Agile arbetsmetoder"
"Scania CV AB","Scania IT söker en T-shaped SysMan med intresse för Systemutveckling",Systemadministratör,Automotive,"Scania IT Services Delivery IT","Windows ,MySQL ,Unix/Linux ,Client/Server ,Java ,.Net ,Linux ,ITIL ,Lean ,Agile"
"Scania CV AB",".Net Developer","Civilingenjör, systemutveckling","Manufacturing of trucks and buses, industrial and marine engines, and services.","Södertälje, Sweden",".NET,C#,WCF,WPF,IIS,ASP.Net,Windows Services"
"Scania CV AB","Systemingenjör - riggstyrsystem/Puma till gruppen Provningssystem","Civilingenjör, systemutveckling",Automotive,Sverige,"PC-based control and measurement systems,Motor testing,AVL's Puma system,Measurement technology,Profibus,CAN bus,Vehicle control systems,Databases"
"Scania CV AB","Senior Developer - Drive Connectivity at Scania!",Systemutvecklare/Programmerare,Automotive,"Södertälje, Sweden",".NET/C#,Javascript/AngularJS,SQL or NoSQL,Azure,AWS"
"Scania CV AB","Testsystemutvecklare - Inbyggda system för drivlinan",Systemutvecklare/Programmerare,"Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Inbyggda system för drivlinan,Python,C#,Matlab/Simulink"
"Scania IT","PM Roll Out Flexible Maintenance","Civilingenjör, systemutveckling",Automotive,"Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur,Jira,Scrum"
"Scania IT","Maintenance Manager to Scania IT",Systemutvecklare/Programmerare,"Heavy Truck Manufacturing and Sustainable Transport Solutions","Sweden, Holland, France, Belgium, Latin America, India","Enterprise Architect by Sparx Systems ,SQL-server ,Web/HTML ,Archiving Solutions"
"Scania CV AB","Scrumaster/utvecklare till Connected Services Solutions! ","Projektledare, IT",Automotive,"Södertälje, Sweden","Angular JS ,.Net ,C# ,WCF ,WPF ,MS Visual Studio 2010/2013 ,TFS ,MS SQL Server 2008/2012 ,Mgmt Studio ,Transact-SQL ,SSIS ,Red Gate ,Git Hub ,Open Source ,AWS ,Testdriven Development ,Automation"
"Scania CV AB","Business IT Analyst, Purchasing - Business IT & Support",Systemutvecklare/Programmerare,"Manufacturing of trucks and buses, industrial and marine engines, maintenance and service, financial services.",Sweden,"IT systems,Applications,IT tools"
"Scania CV AB","Data Scientist till Connected Services","Forskare, IT","Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Fleet Management,Advanced Analytics,Data Science,Data Analysis,Machine Learning,Data Mining,Algorithm Development,Signal Processing,Data Modelling,Geospatial Analysis"
"Scania CV AB","Business IT Analyst - CAD/vPDM","Civilingenjör, systemutveckling",Manufacturing,Sverige,"CAD,vPDM,Product Lifecycle Management (PLM),Catia,Enovia"
"Scania IT","Scania IT söker Gruppchef till Customer Support","Projektledare, IT","IT Service Management","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur"
"Scania IT","Oracleutvecklare till Scania IT",Systemutvecklare/Programmerare,"Lastbilstillverkare,Transportlösningar,Tjänsteleverantör","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Oracle e-Business Suite 12.1.3,Oracle Database,PL/SQL,Oracle Forms/Reports,Linux,BI,WebAdi,ADF"
"Scania IT","Contract Manager till Vendor Management på Scania IT",IT-utredare,"Lastbilstillverkare,Transportlösningar,Tjänsteleverantör","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur"
"Scania IT","Systemutvecklare .NET till Product Development IT, Scania IT",Systemutvecklare/Programmerare,Automotive,"Södertälje, Sweden",".NET,Microsofts kringliggande produkter,Agil utveckling,Testdriven utveckling"
"Scania Finans AB","Project Manager Data protection @ Scania",Datasäkerhetsansvarig,"Manufacturing of trucks and buses, industrial and marine engines, maintenance and service, financial services.","Södertälje, Sweden","Gap-analysis ,Data protection and integrity ,Implementation plan ,Data protection governance structure"
"Scania IT","Applikationsspecialister Microsoft Dynamics AX till Scania IT",Applikationsutvecklare/Apputvecklare,Automotive,"Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Microsoft Dynamics AX"
"Scania IT","Are you Scania IT's new BMC Remedy /ARS developer?",Systemutvecklare/Programmerare,Automotive,"Sweden, Holland, France, Belgium, Latin America, India","BMC Remedy/ARS ,C ,JavaScript ,SQL script"
"Scania IT","Projektledare för stort tjänsteutvecklingsprojekt","Projektledare, IT",Automotive,"Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur"
"Scania IT","Förvaltningsledare/Scrummaster till Product Development IT, Scania IT","Projektledare, IT","Lastbilstillverkare,Tjänsteleverantör av kompletta transportlösningar","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur"
"Scania CV AB","Funktionsutvecklare - Karta och omvärldsbild","Civilingenjör, systemutveckling","Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Matlab,C,C++,Simulink"
"Scania IT","Lösningsarkitekter till Product Development IT, Scania IT",IT-arkitekt/Lösningsarkitekt,Lastbilstillverkare,"Södertälje, Sweden","Digitalisering,IT-lösningar,Tjänster inom Scanias service marknad,Uppkopplade tjänster,Utveckling av nya produkter,Arkitektur,Utveckling,Underhåll,Support,Planering"
"Scania CV AB","Gruppchef - Daily Operations, Connected Services","Civilingenjör, systemutveckling","Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Data from connected vehicles,External interfaces,Verktyg for daily operations,Systemutveckling,Civilingenjör eller motsvarande kompetens,Agila metoder,Testdriven utveckling,Automatisering,Continuous integration"
"Scania CV AB","System Lead for new Transport Systems",Systemutvecklare/Programmerare,"Lastbilar och bussar för tunga transporter samt industri- och marinmotorer.",Sverige,"Cloud-based technologies,Scania's electrical systems and embedded software,System design and integration,System development"
"Scania IT","Testledare till Scania IT",Testledare,"Lastbilstillverkare,Tjänsteleverantör av kompletta transportlösningar","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur,Digitalisering,Mjukvaruutveckling,Automatiserade tester,Manuella systemtester"
"Scania IT","Senior Developer, UX/UI, till Scania IT","Civilingenjör, systemutveckling","Lastbilstillverkare,Tjänsteleverantör av kompletta transportlösningar","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","HTML5,CSS3,Twitter Bootstrap,LESS/SASS,Javascript,jQuery,Ajax,JS MV*-ramverk,AngularJS,Polymer,REST API"
"Scania IT","Erfaren .NET-utvecklare till Service Delivery - Workshop Process, Scania IT",Systemutvecklare/Programmerare,"Lastbilstillverkare och tjänsteleverantör av kompletta transportlösningar.","Sverige, Holland, Frankrike, Belgien, Latinamerika och Indien",".NET,Microsofts kringliggande produkter,Scrum,Kanban,Testdriven utveckling"
